instant,dteday,season,yr,mnth,holiday,weekday,workingday,weathersit,temp,atemp,hum,windspeed,casual,registered,cnt,year,month,day,day_of_week,season_label,month_label,weather_label,weekday_label,casual_percent,registered_percent,temp_actual,atemp_actual,hum_actual,windspeed_actual,cluster
16,2011-01-16,1,0,1,0,0,0,1,0.231667,0.234217,0.48375,0.188433,251,953,1204,2011,1,16,Sunday,Spring,Jan,Clear,Sunday,20.84717607973422,79.15282392026577,9.498347,11.71085,48.375,12.625010999999999,0
17,2011-01-17,1,0,1,1,1,0,2,0.175833,0.176771,0.5375,0.194017,117,883,1000,2011,1,17,Monday,Spring,Jan,Mist,Monday,11.700000000000001,88.3,7.209153,8.838550000000001,53.75,12.999139,0
18,2011-01-18,1,0,1,0,2,1,2,0.216667,0.232333,0.861667,0.146775,9,674,683,2011,1,18,Tuesday,Spring,Jan,Mist,Tuesday,1.3177159590043925,98.68228404099561,8.883347,11.61665,86.16669999999999,9.833924999999999,0
19,2011-01-19,1,0,1,0,3,1,2,0.292174,0.298422,0.741739,0.208317,78,1572,1650,2011,1,19,Wednesday,Spring,Jan,Mist,Wednesday,4.7272727272727275,95.27272727272728,11.979134,14.921100000000001,74.1739,13.957239,0
20,2011-01-20,1,0,1,0,4,1,2,0.261667,0.25505,0.538333,0.195904,83,1844,1927,2011,1,20,Thursday,Spring,Jan,Mist,Thursday,4.307213284898807,95.69278671510119,10.728347,12.7525,53.833299999999994,13.125568,0
21,2011-01-21,1,0,1,0,5,1,1,0.1775,0.157833,0.457083,0.353242,75,1468,1543,2011,1,21,Friday,Spring,Jan,Clear,Friday,4.860661049902787,95.13933895009721,7.2775,7.89165,45.7083,23.667214,0
22,2011-01-22,1,0,1,0,6,0,1,0.0591304,0.0790696,0.4,0.17197,93,888,981,2011,1,22,Saturday,Spring,Jan,Clear,Saturday,9.480122324159021,90.51987767584097,2.4243464,3.9534800000000003,40.0,11.52199,0
23,2011-01-23,1,0,1,0,0,0,1,0.0965217,0.0988391,0.436522,0.2466,150,836,986,2011,1,23,Sunday,Spring,Jan,Clear,Sunday,15.212981744421908,84.78701825557809,3.9573897000000002,4.941955,43.6522,16.5222,0
24,2011-01-24,1,0,1,0,1,1,1,0.0973913,0.11793,0.491739,0.15833,86,1330,1416,2011,1,24,Monday,Spring,Jan,Clear,Monday,6.073446327683616,93.92655367231639,3.9930433,5.8965,49.173899999999996,10.60811,0
25,2011-01-25,1,0,1,0,2,1,2,0.223478,0.234526,0.616957,0.129796,186,1799,1985,2011,1,25,Tuesday,Spring,Jan,Mist,Tuesday,9.370277078085643,90.62972292191435,9.162598000000001,11.7263,61.695699999999995,8.696332,0
26,2011-01-26,1,0,1,0,3,1,3,0.2175,0.2036,0.8625,0.29385,34,472,506,2011,1,26,Wednesday,Spring,Jan,Light Snow/Rain,Wednesday,6.719367588932807,93.2806324110672,8.9175,10.18,86.25,19.68795,0
27,2011-01-27,1,0,1,0,4,1,1,0.195,0.2197,0.6875,0.113837,15,416,431,2011,1,27,Thursday,Spring,Jan,Clear,Thursday,3.480278422273782,96.51972157772622,7.995,10.985,68.75,7.627078999999999,0
28,2011-01-28,1,0,1,0,5,1,2,0.203478,0.223317,0.793043,0.1233,38,1129,1167,2011,1,28,Friday,Spring,Jan,Mist,Friday,3.2562125107112254,96.74378748928878,8.342597999999999,11.165849999999999,79.30430000000001,8.2611,0
29,2011-01-29,1,0,1,0,6,0,1,0.196522,0.212126,0.651739,0.145365,123,975,1098,2011,1,29,Saturday,Spring,Jan,Clear,Saturday,11.202185792349727,88.79781420765028,8.057402,10.606300000000001,65.17389999999999,9.739455,0
30,2011-01-30,1,0,1,0,0,0,1,0.216522,0.250322,0.722174,0.0739826,140,956,1096,2011,1,30,Sunday,Spring,Jan,Clear,Sunday,12.773722627737227,87.22627737226277,8.877402,12.5161,72.2174,4.956834199999999,0
31,2011-01-31,1,0,1,0,1,1,2,0.180833,0.18625,0.60375,0.187192,42,1459,1501,2011,1,31,Monday,Spring,Jan,Mist,Monday,2.798134576948701,97.2018654230513,7.414153,9.3125,60.375,12.541864,0
32,2011-02-01,1,0,2,0,2,1,2,0.192174,0.23453,0.829565,0.053213,47,1313,1360,2011,2,1,Tuesday,Spring,Feb,Mist,Tuesday,3.4558823529411766,96.54411764705883,7.8791340000000005,11.7265,82.9565,3.565271,0
33,2011-02-02,1,0,2,0,3,1,2,0.26,0.254417,0.775417,0.264308,72,1454,1526,2011,2,2,Wednesday,Spring,Feb,Mist,Wednesday,4.718217562254259,95.28178243774575,10.66,12.72085,77.5417,17.708636,0
34,2011-02-03,1,0,2,0,4,1,1,0.186957,0.177878,0.437826,0.277752,61,1489,1550,2011,2,3,Thursday,Spring,Feb,Clear,Thursday,3.9354838709677415,96.06451612903226,7.665237,8.8939,43.7826,18.609384,0
35,2011-02-04,1,0,2,0,5,1,2,0.211304,0.228587,0.585217,0.127839,88,1620,1708,2011,2,4,Friday,Spring,Feb,Mist,Friday,5.152224824355972,94.84777517564403,8.663464,11.429350000000001,58.521699999999996,8.565213,0
36,2011-02-05,1,0,2,0,6,0,2,0.233333,0.243058,0.929167,0.161079,100,905,1005,2011,2,5,Saturday,Spring,Feb,Mist,Saturday,9.950248756218906,90.04975124378109,9.566653,12.152899999999999,92.91669999999999,10.792293,0
37,2011-02-06,1,0,2,0,0,0,1,0.285833,0.291671,0.568333,0.1418,354,1269,1623,2011,2,6,Sunday,Spring,Feb,Clear,Sunday,21.811460258780038,78.18853974121997,11.719153,14.58355,56.833299999999994,9.5006,0
38,2011-02-07,1,0,2,0,1,1,1,0.271667,0.303658,0.738333,0.0454083,120,1592,1712,2011,2,7,Monday,Spring,Feb,Clear,Monday,7.009345794392523,92.99065420560748,11.138347,15.1829,73.83330000000001,3.0423561,0
39,2011-02-08,1,0,2,0,2,1,1,0.220833,0.198246,0.537917,0.36195,64,1466,1530,2011,2,8,Tuesday,Spring,Feb,Clear,Tuesday,4.183006535947712,95.81699346405229,9.054153,9.9123,53.7917,24.25065,0
40,2011-02-09,1,0,2,0,3,1,2,0.134783,0.144283,0.494783,0.188839,53,1552,1605,2011,2,9,Wednesday,Spring,Feb,Mist,Wednesday,3.3021806853582554,96.69781931464175,5.526102999999999,7.21415,49.4783,12.652213,0
41,2011-02-10,1,0,2,0,4,1,1,0.144348,0.149548,0.437391,0.221935,47,1491,1538,2011,2,10,Thursday,Spring,Feb,Clear,Thursday,3.05591677503251,96.94408322496749,5.918268,7.477399999999999,43.7391,14.869645,0
42,2011-02-11,1,0,2,0,5,1,1,0.189091,0.213509,0.506364,0.10855,149,1597,1746,2011,2,11,Friday,Spring,Feb,Clear,Friday,8.533791523482245,91.46620847651775,7.752731000000001,10.67545,50.6364,7.272849999999999,0
43,2011-02-12,1,0,2,0,6,0,1,0.2225,0.232954,0.544167,0.203367,288,1184,1472,2011,2,12,Saturday,Spring,Feb,Clear,Saturday,19.565217391304348,80.43478260869566,9.1225,11.6477,54.4167,13.625589,0
44,2011-02-13,1,0,2,0,0,0,1,0.316522,0.324113,0.457391,0.260883,397,1192,1589,2011,2,13,Sunday,Spring,Feb,Clear,Sunday,24.984266834487098,75.0157331655129,12.977402000000001,16.20565,45.7391,17.479160999999998,0
45,2011-02-14,1,0,2,0,1,1,1,0.415,0.39835,0.375833,0.417908,208,1705,1913,2011,2,14,Monday,Spring,Feb,Clear,Monday,10.872974385781495,89.1270256142185,17.015,19.9175,37.583299999999994,27.999836,3
46,2011-02-15,1,0,2,0,2,1,1,0.266087,0.254274,0.314348,0.291374,140,1675,1815,2011,2,15,Tuesday,Spring,Feb,Clear,Tuesday,7.7134986225895315,92.28650137741047,10.909567000000001,12.7137,31.434800000000003,19.522058,0
47,2011-02-16,1,0,2,0,3,1,1,0.318261,0.3162,0.423478,0.251791,218,1897,2115,2011,2,16,Wednesday,Spring,Feb,Clear,Wednesday,10.307328605200945,89.69267139479905,13.048701000000001,15.809999999999999,42.3478,16.869996999999998,0
48,2011-02-17,1,0,2,0,4,1,1,0.435833,0.428658,0.505,0.230104,259,2216,2475,2011,2,17,Thursday,Spring,Feb,Clear,Thursday,10.464646464646464,89.53535353535354,17.869153,21.4329,50.5,15.416968,0
49,2011-02-18,1,0,2,0,5,1,1,0.521667,0.511983,0.516667,0.264925,579,2348,2927,2011,2,18,Friday,Spring,Feb,Clear,Friday,19.781346088144858,80.21865391185514,21.388347,25.599149999999998,51.6667,17.749975000000003,3
50,2011-02-19,1,0,2,0,6,0,1,0.399167,0.391404,0.187917,0.507463,532,1103,1635,2011,2,19,Saturday,Spring,Feb,Clear,Saturday,32.53822629969419,67.4617737003058,16.365847,19.5702,18.7917,34.000021,3
51,2011-02-20,1,0,2,0,0,0,1,0.285217,0.27733,0.407826,0.223235,639,1173,1812,2011,2,20,Sunday,Spring,Feb,Clear,Sunday,35.264900662251655,64.73509933774835,11.693897,13.8665,40.7826,14.956745,0
52,2011-02-21,1,0,2,1,1,0,2,0.303333,0.284075,0.605,0.307846,195,912,1107,2011,2,21,Monday,Spring,Feb,Mist,Monday,17.615176151761517,82.38482384823848,12.436653000000002,14.203750000000001,60.5,20.625682,0
53,2011-02-22,1,0,2,0,2,1,1,0.182222,0.186033,0.577778,0.195683,74,1376,1450,2011,2,22,Tuesday,Spring,Feb,Clear,Tuesday,5.103448275862069,94.89655172413794,7.471102,9.30165,57.7778,13.110761,0
54,2011-02-23,1,0,2,0,3,1,1,0.221739,0.245717,0.423043,0.094113,139,1778,1917,2011,2,23,Wednesday,Spring,Feb,Clear,Wednesday,7.250912884715702,92.7490871152843,9.091299,12.28585,42.3043,6.3055710000000005,0
55,2011-02-24,1,0,2,0,4,1,2,0.295652,0.289191,0.697391,0.250496,100,1707,1807,2011,2,24,Thursday,Spring,Feb,Mist,Thursday,5.534034311012729,94.46596568898727,12.121732000000002,14.459549999999998,69.7391,16.783231999999998,0
56,2011-02-25,1,0,2,0,5,1,2,0.364348,0.350461,0.712174,0.346539,120,1341,1461,2011,2,25,Friday,Spring,Feb,Mist,Friday,8.213552361396303,91.78644763860369,14.938268,17.52305,71.2174,23.218113,0
57,2011-02-26,1,0,2,0,6,0,1,0.2825,0.282192,0.537917,0.186571,424,1545,1969,2011,2,26,Saturday,Spring,Feb,Clear,Saturday,21.53377348908075,78.46622651091924,11.5825,14.1096,53.7917,12.500257,0
58,2011-02-27,1,0,2,0,0,0,1,0.343478,0.351109,0.68,0.125248,694,1708,2402,2011,2,27,Sunday,Spring,Feb,Clear,Sunday,28.892589508742716,71.10741049125728,14.082598,17.55545,68.0,8.391615999999999,0
59,2011-02-28,1,0,2,0,1,1,2,0.407273,0.400118,0.876364,0.289686,81,1365,1446,2011,2,28,Monday,Spring,Feb,Mist,Monday,5.601659751037345,94.39834024896265,16.698193,20.005899999999997,87.63640000000001,19.408962,0
60,2011-03-01,1,0,3,0,2,1,1,0.266667,0.263879,0.535,0.216425,137,1714,1851,2011,3,1,Tuesday,Spring,Mar,Clear,Tuesday,7.401404646137223,92.59859535386278,10.933347,13.19395,53.5,14.500475,0
61,2011-03-02,1,0,3,0,3,1,1,0.335,0.320071,0.449583,0.307833,231,1903,2134,2011,3,2,Wednesday,Spring,Mar,Clear,Wednesday,10.824742268041238,89.17525773195877,13.735000000000001,16.00355,44.9583,20.624811,0
62,2011-03-03,1,0,3,0,4,1,1,0.198333,0.200133,0.318333,0.225754,123,1562,1685,2011,3,3,Thursday,Spring,Mar,Clear,Thursday,7.299703264094956,92.70029673590504,8.131653,10.00665,31.833299999999998,15.125518000000001,0
63,2011-03-04,1,0,3,0,5,1,2,0.261667,0.255679,0.610417,0.203346,214,1730,1944,2011,3,4,Friday,Spring,Mar,Mist,Friday,11.008230452674898,88.9917695473251,10.728347,12.783949999999999,61.0417,13.624182,0
64,2011-03-05,1,0,3,0,6,0,2,0.384167,0.378779,0.789167,0.251871,640,1437,2077,2011,3,5,Saturday,Spring,Mar,Mist,Saturday,30.813673567645644,69.18632643235436,15.750846999999998,18.93895,78.91669999999999,16.875357,0
65,2011-03-06,1,0,3,0,0,0,2,0.376522,0.366252,0.948261,0.343287,114,491,605,2011,3,6,Sunday,Spring,Mar,Mist,Sunday,18.84297520661157,81.15702479338843,15.437402,18.3126,94.8261,23.000229,0
66,2011-03-07,1,0,3,0,1,1,1,0.261739,0.238461,0.551304,0.341352,244,1628,1872,2011,3,7,Monday,Spring,Mar,Clear,Monday,13.034188034188036,86.96581196581197,10.731299,11.92305,55.1304,22.870584,0
67,2011-03-08,1,0,3,0,2,1,1,0.2925,0.3024,0.420833,0.12065,316,1817,2133,2011,3,8,Tuesday,Spring,Mar,Clear,Tuesday,14.814814814814813,85.18518518518519,11.9925,15.120000000000001,42.0833,8.083549999999999,0
68,2011-03-09,1,0,3,0,3,1,2,0.295833,0.286608,0.775417,0.22015,191,1700,1891,2011,3,9,Wednesday,Spring,Mar,Mist,Wednesday,10.100475938656796,89.8995240613432,12.129153,14.3304,77.5417,14.750050000000002,0
69,2011-03-10,1,0,3,0,4,1,3,0.389091,0.385668,0.0,0.261877,46,577,623,2011,3,10,Thursday,Spring,Mar,Light Snow/Rain,Thursday,7.3836276083467105,92.61637239165329,15.952731,19.2834,0.0,17.545759,0
70,2011-03-11,1,0,3,0,5,1,2,0.316522,0.305,0.649565,0.23297,247,1730,1977,2011,3,11,Friday,Spring,Mar,Mist,Friday,12.493677288821447,87.50632271117856,12.977402000000001,15.25,64.95649999999999,15.60899,0
71,2011-03-12,1,0,3,0,6,0,1,0.329167,0.32575,0.594583,0.220775,724,1408,2132,2011,3,12,Saturday,Spring,Mar,Clear,Saturday,33.95872420262664,66.04127579737336,13.495847,16.287499999999998,59.458299999999994,14.791924999999999,0
72,2011-03-13,1,0,3,0,0,0,1,0.384348,0.380091,0.527391,0.270604,982,1435,2417,2011,3,13,Sunday,Spring,Mar,Clear,Sunday,40.628878775341335,59.371121224658665,15.758268000000001,19.004550000000002,52.73910000000001,18.130468,0
73,2011-03-14,1,0,3,0,1,1,1,0.325217,0.332,0.496957,0.136926,359,1687,2046,2011,3,14,Monday,Spring,Mar,Clear,Monday,17.546432062561095,82.4535679374389,13.333896999999999,16.6,49.695699999999995,9.174042,0
74,2011-03-15,1,0,3,0,2,1,2,0.317391,0.318178,0.655652,0.184309,289,1767,2056,2011,3,15,Tuesday,Spring,Mar,Mist,Tuesday,14.056420233463035,85.94357976653697,13.013031,15.908900000000001,65.5652,12.348703,0
75,2011-03-16,1,0,3,0,3,1,2,0.365217,0.36693,0.776522,0.203117,321,1871,2192,2011,3,16,Wednesday,Spring,Mar,Mist,Wednesday,14.644160583941607,85.3558394160584,14.973897000000001,18.3465,77.65220000000001,13.608839,0
76,2011-03-17,1,0,3,0,4,1,1,0.415,0.410333,0.602917,0.209579,424,2320,2744,2011,3,17,Thursday,Spring,Mar,Clear,Thursday,15.451895043731778,84.54810495626822,17.015,20.51665,60.291700000000006,14.041792999999998,0
77,2011-03-18,1,0,3,0,5,1,1,0.54,0.527009,0.525217,0.231017,884,2355,3239,2011,3,18,Friday,Spring,Mar,Clear,Friday,27.292374189564683,72.70762581043532,22.14,26.35045,52.5217,15.478139,3
78,2011-03-19,1,0,3,0,6,0,1,0.4725,0.466525,0.379167,0.368167,1424,1693,3117,2011,3,19,Saturday,Spring,Mar,Clear,Saturday,45.68495348091113,54.315046519088874,19.3725,23.32625,37.9167,24.667189,3
79,2011-03-20,1,0,3,0,0,0,1,0.3325,0.32575,0.47375,0.207721,1047,1424,2471,2011,3,20,Sunday,Spring,Mar,Clear,Sunday,42.37150951031971,57.628490489680296,13.6325,16.287499999999998,47.375,13.917307,0
80,2011-03-21,2,0,3,0,1,1,2,0.430435,0.409735,0.737391,0.288783,401,1676,2077,2011,3,21,Monday,Summer,Mar,Mist,Monday,19.306692344727974,80.69330765527202,17.647835,20.48675,73.73910000000001,19.348461,0
81,2011-03-22,2,0,3,0,2,1,1,0.441667,0.440642,0.624583,0.22575,460,2243,2703,2011,3,22,Tuesday,Summer,Mar,Clear,Tuesday,17.01812800591935,82.98187199408065,18.108347,22.0321,62.4583,15.125250000000001,0
82,2011-03-23,2,0,3,0,3,1,2,0.346957,0.337939,0.839565,0.234261,203,1918,2121,2011,3,23,Wednesday,Summer,Mar,Mist,Wednesday,9.570957095709572,90.42904290429043,14.225237,16.89695,83.9565,15.695487,0
83,2011-03-24,2,0,3,0,4,1,2,0.285,0.270833,0.805833,0.243787,166,1699,1865,2011,3,24,Thursday,Summer,Mar,Mist,Thursday,8.900804289544235,91.09919571045576,11.684999999999999,13.541649999999999,80.58330000000001,16.333729,0
84,2011-03-25,2,0,3,0,5,1,1,0.264167,0.256312,0.495,0.230725,300,1910,2210,2011,3,25,Friday,Summer,Mar,Clear,Friday,13.574660633484163,86.42533936651584,10.830846999999999,12.8156,49.5,15.458575000000002,0
85,2011-03-26,2,0,3,0,6,0,1,0.265833,0.257571,0.394167,0.209571,981,1515,2496,2011,3,26,Saturday,Summer,Mar,Clear,Saturday,39.30288461538461,60.69711538461539,10.899153,12.87855,39.4167,14.041257,0
86,2011-03-27,2,0,3,0,0,0,2,0.253043,0.250339,0.493913,0.1843,472,1221,1693,2011,3,27,Sunday,Summer,Mar,Mist,Sunday,27.879503839338454,72.12049616066155,10.374763000000002,12.51695,49.3913,12.348099999999999,0
87,2011-03-28,2,0,3,0,1,1,1,0.264348,0.257574,0.302174,0.212204,222,1806,2028,2011,3,28,Monday,Summer,Mar,Clear,Monday,10.946745562130179,89.05325443786982,10.838268000000001,12.878700000000002,30.2174,14.217668,0
88,2011-03-29,2,0,3,0,2,1,1,0.3025,0.292908,0.314167,0.226996,317,2108,2425,2011,3,29,Tuesday,Summer,Mar,Clear,Tuesday,13.072164948453608,86.92783505154638,12.4025,14.6454,31.4167,15.208732,0
89,2011-03-30,2,0,3,0,3,1,2,0.3,0.29735,0.646667,0.172888,168,1368,1536,2011,3,30,Wednesday,Summer,Mar,Mist,Wednesday,10.9375,89.0625,12.299999999999999,14.8675,64.6667,11.583495999999998,0
90,2011-03-31,2,0,3,0,4,1,3,0.268333,0.257575,0.918333,0.217646,179,1506,1685,2011,3,31,Thursday,Summer,Mar,Light Snow/Rain,Thursday,10.623145400593472,89.37685459940653,11.001653,12.87875,91.8333,14.582282000000001,0
91,2011-04-01,2,0,4,0,5,1,2,0.3,0.283454,0.68625,0.258708,307,1920,2227,2011,4,1,Friday,Summer,Apr,Mist,Friday,13.785361472833408,86.21463852716658,12.299999999999999,14.172699999999999,68.625,17.333436,0
92,2011-04-02,2,0,4,0,6,0,2,0.315,0.315637,0.65375,0.197146,898,1354,2252,2011,4,2,Saturday,Summer,Apr,Mist,Saturday,39.87566607460036,60.12433392539964,12.915000000000001,15.78185,65.375,13.208782,0
93,2011-04-03,2,0,4,0,0,0,1,0.378333,0.378767,0.48,0.182213,1651,1598,3249,2011,4,3,Sunday,Summer,Apr,Clear,Sunday,50.81563558017852,49.184364419821485,15.511652999999999,18.93835,48.0,12.208271000000002,3
94,2011-04-04,2,0,4,0,1,1,1,0.573333,0.542929,0.42625,0.385571,734,2381,3115,2011,4,4,Monday,Summer,Apr,Clear,Monday,23.563402889245584,76.4365971107544,23.506653,27.14645,42.625,25.833257,3
95,2011-04-05,2,0,4,0,2,1,2,0.414167,0.39835,0.642083,0.388067,167,1628,1795,2011,4,5,Tuesday,Summer,Apr,Mist,Tuesday,9.303621169916434,90.69637883008357,16.980847,19.9175,64.2083,26.000488999999998,0
96,2011-04-06,2,0,4,0,3,1,1,0.390833,0.387608,0.470833,0.263063,413,2395,2808,2011,4,6,Wednesday,Summer,Apr,Clear,Wednesday,14.707977207977208,85.29202279202279,16.024153,19.3804,47.0833,17.625221,3
97,2011-04-07,2,0,4,0,4,1,1,0.4375,0.433696,0.602917,0.162312,571,2570,3141,2011,4,7,Thursday,Summer,Apr,Clear,Thursday,18.178923909582938,81.82107609041707,17.9375,21.684800000000003,60.291700000000006,10.874904,0
98,2011-04-08,2,0,4,0,5,1,2,0.335833,0.324479,0.83625,0.226992,172,1299,1471,2011,4,8,Friday,Summer,Apr,Mist,Friday,11.692726036709722,88.30727396329027,13.769153,16.223950000000002,83.625,15.208464,0
99,2011-04-09,2,0,4,0,6,0,2,0.3425,0.341529,0.8775,0.133083,879,1576,2455,2011,4,9,Saturday,Summer,Apr,Mist,Saturday,35.80448065173116,64.19551934826883,14.0425,17.07645,87.75,8.916561,0
100,2011-04-10,2,0,4,0,0,0,2,0.426667,0.426737,0.8575,0.146767,1188,1707,2895,2011,4,10,Sunday,Summer,Apr,Mist,Sunday,41.03626943005182,58.96373056994819,17.493347,21.33685,85.75,9.833389,1
101,2011-04-11,2,0,4,0,1,1,2,0.595652,0.565217,0.716956,0.324474,855,2493,3348,2011,4,11,Monday,Summer,Apr,Mist,Monday,25.537634408602152,74.46236559139786,24.421732,28.260849999999998,71.6956,21.739758,3
102,2011-04-12,2,0,4,0,2,1,2,0.5025,0.493054,0.739167,0.274879,257,1777,2034,2011,4,12,Tuesday,Summer,Apr,Mist,Tuesday,12.63520157325467,87.36479842674532,20.6025,24.6527,73.9167,18.416892999999998,0
103,2011-04-13,2,0,4,0,3,1,2,0.4125,0.417283,0.819167,0.250617,209,1953,2162,2011,4,13,Wednesday,Summer,Apr,Mist,Wednesday,9.666975023126735,90.33302497687326,16.912499999999998,20.864150000000002,81.91669999999999,16.791338999999997,0
104,2011-04-14,2,0,4,0,4,1,1,0.4675,0.462742,0.540417,0.1107,529,2738,3267,2011,4,14,Thursday,Summer,Apr,Clear,Thursday,16.192225283134373,83.80777471686562,19.1675,23.1371,54.041700000000006,7.4169,1
105,2011-04-15,2,0,4,1,5,0,1,0.446667,0.441913,0.67125,0.226375,642,2484,3126,2011,4,15,Friday,Summer,Apr,Clear,Friday,20.537428023032632,79.46257197696737,18.313347,22.09565,67.125,15.167124999999999,0
106,2011-04-16,2,0,4,0,6,0,3,0.430833,0.425492,0.888333,0.340808,121,674,795,2011,4,16,Saturday,Summer,Apr,Light Snow/Rain,Saturday,15.220125786163521,84.77987421383648,17.664153000000002,21.2746,88.83330000000001,22.834136,0
107,2011-04-17,2,0,4,0,0,0,1,0.456667,0.445696,0.479583,0.303496,1558,2186,3744,2011,4,17,Sunday,Summer,Apr,Clear,Sunday,41.613247863247864,58.38675213675214,18.723347,22.2848,47.9583,20.334232,3
108,2011-04-18,2,0,4,0,1,1,1,0.5125,0.503146,0.5425,0.163567,669,2760,3429,2011,4,18,Monday,Summer,Apr,Clear,Monday,19.510061242344705,80.4899387576553,21.0125,25.1573,54.25,10.958988999999999,1
109,2011-04-19,2,0,4,0,2,1,2,0.505833,0.489258,0.665833,0.157971,409,2795,3204,2011,4,19,Tuesday,Summer,Apr,Mist,Tuesday,12.765293383270912,87.23470661672908,20.739152999999998,24.4629,66.5833,10.584057,1
110,2011-04-20,2,0,4,0,3,1,1,0.595,0.564392,0.614167,0.241925,613,3331,3944,2011,4,20,Wednesday,Summer,Apr,Clear,Wednesday,15.542596348884382,84.45740365111561,24.395,28.2196,61.4167,16.208975,3
111,2011-04-21,2,0,4,0,4,1,1,0.459167,0.453892,0.407083,0.325258,745,3444,4189,2011,4,21,Thursday,Summer,Apr,Clear,Thursday,17.78467414657436,82.21532585342564,18.825847,22.6946,40.708299999999994,21.792286,3
112,2011-04-22,2,0,4,0,5,1,2,0.336667,0.321954,0.729583,0.219521,177,1506,1683,2011,4,22,Friday,Summer,Apr,Mist,Friday,10.51693404634581,89.48306595365419,13.803347,16.0977,72.9583,14.707906999999999,0
113,2011-04-23,2,0,4,0,6,0,2,0.46,0.450121,0.887917,0.230725,1462,2574,4036,2011,4,23,Saturday,Summer,Apr,Mist,Saturday,36.22398414271556,63.77601585728444,18.86,22.50605,88.79169999999999,15.458575000000002,1
